title, release, cast1, cast2, cast3, cast4, cast5, crew1, crew2, crew3, crew4, crew5, genra, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
The Wall Street Mystery, 1931-10-31, Donald Meek, John Hamilton, Frances Dale, Hobart Cavanaugh, , Arthur Hurley, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ela Na Agapithoume Darling, 1984-01-31, Stathis Psaltis, Stamatis Gardelis, Kaiti Finou, Efi Pikoula, Spyros Kalogirou, Giannis Dalianidis, Giannis Dalianidis, , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
State Fair, 1945-08-29, Jeanne Crain, Dana Andrews, Dick Haymes, Vivian Blaine, Charles Winninger, Walter Lang, , , , , Music-Romance,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hobgoblins 2, 2009-06-23, Josh Mills, Josh Green, Chanel Ryan, Jason Buuck, Sabrina Bolin, Rick Sloane, Rick Sloane, Rick Sloane, , , Horror-ScienceFiction,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
One Man Band, 2005-06-22, , , , , , Mark Andrews, Andrew Jimenez, Andrew Jimenez, Mark Andrews, Osnat Shurer, Animation-Family,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Dil Hai Ke Manta Nahin, 1991-01-01, Aamir Khan, Pooja Bhatt, Anupam Kher, Sameer Chitre, , Robin Bhatt, Mahesh Bhatt, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Life According To Agfa, 1992-01-01, Gila Almagor, Smadar Kilchinsky, Sharon Alexander, Irit Frank, Akram Tillawi, Assi Dayan, Assi Dayan, , , , Drama-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
Blood Red Moon, 2010-03-02, Sarah Lavrisa, Matthew Thomas Rogers, Mark Courneyea, Shelley-Jean Harrison, Tiffany Lawson, Scott Patrick, Kevin J. Lindenmuth, Anne-Marie Frigon, Brett Kelly, Amber Peters, Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
George Stevens: A Filmmaker's Journey, 1985-03-03, Fred Astaire, Rock Hudson, , , , George Stevens Jr., , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Obsessed of Catale, 1965-05-21, Raul Cortez, , , , , Anselmo Duarte, Jorge Andrade, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Wiggles: Whoo Hoo! Wiggly Gremlins!, 2004-08-03, Emma Watkins, Anthony Field, Lachlan Gillespie, Jeff Fatt, Murray Cook, Martin Murphy, , , , , Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Hard Rock Calling 2011, 2011-06-25, Bon Jovi, Ray Davies, Rod Stewart, Stevie Nicks, The Killers, , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Love City, 1986-07-26, , , , , , , , , , , Action-Animation-Fantasy-ScienceFiction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,
Desire and Hell at Sunset Motel, 1991-01-01, David Hewlett, Sherilyn Fenn, Whip Hubley, David Johansen, Kenneth Tobey, Alien Castle, Alien Castle, , , , Comedy-Mystery-Thriller,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Funk, 2007-01-01, Yumi Saito, Luanda Boaz, Marcia Imperator, Pamela Butt, Babalu, , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wanted Perfect Mother, 1996-05-07, Regine Velasquez, Bing Loyzaga, Bobby Andrews, Mandy Ochoa, Winnie Cordero, Mel Mendoza-Del Rosario, Ike Jarlego Jr., Mars Ravelo, , , Comedy-Drama-Music-Romance,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Priyamudan, 1998-06-12, Vijay, Kausalya, Nasser, Sujith Sagar, Manivannan, Deva, Vincent Selva, , , , Action-Drama-Foreign-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,
Super Sweet 16: The Movie, 2007-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Marathon Boy, 2010-01-01, , , , , , Gemma Atwal, , , , , Documentary-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,
Chaand Kaa Tukdaa, 1994-08-18, Salman Khan, Sridevi Kapoor, Anupam Kher, Shatrughan Sinha, , Saawan Kumar Tak, Anwar Khan, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Big Showdown, 1973-01-04, Charles Heung, Fu-Wan Chin, Tina Chin-Fei, Ching Chen, Yuen Biao, Wong Tin-Lam, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Spooks!, 1953-06-15, Shemp Howard, Philip Van Zandt, Tom Kennedy, Norma Randall, Moe Howard, Jules White, Felix Adler, , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ted Bundy, 2002-11-22, Michael Reilly Burke, Boti Bliss, Julianna McCarthy, Jennifer Tisdale, Michael Santos, Matthew Bright, Matthew Bright, Stephen Johnston, , , Crime-Drama-Horror,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Alias, 2013-04-19, , , , , , Michelle Latimer, , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Leg Fighters, 1980-01-01, Dorian Tan Tao-Liang, Wang Hsieh, Ha Kwong-Li, Sun Jung-Chi, , Lee Tso-Nam, Hsin Yi Chang, , , , Action-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Secrets, 1924-03-24, Norma Talmadge, Eugene O'Brien, Patterson Dial, Emily Fitzroy, Claire McDowell, Frank Borzage, Frances Marion, Rudolph Besier, May Edginton, Norma Talmadge, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bremen 4: Jigoku no Naka no Tenshi-tachi, 1981-08-28, , , , , , , , , , , Animation-Fantasy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Bushido - Deutschland gib mir ein Mic, 2006-03-28, Anis Mohamed Youssef Ferchichi, Saad El-Haddad, , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hare Remover, 1946-03-23, Mel Blanc, Arthur Q. Bryan, , , , Frank Tashlin, Carl W. Stalling, Edward Selzer, , , Animation-Comedy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Porcel: How to conquer women, 1991-01-01, Jorge Porcel, Leticia Laurenz, Claudia Sandin, Ana Marelli, Eduardo Bertoglio, Wilfredo Ferran, , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wahnsinn, 1919-10-14, Conrad Veidt, , , , , Conrad Veidt, Hermann Fellner, Margarete Lindau-Schulz, Margarete Lindau-Schulz, , Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tribuzy: Execution Live Reunion, 2009-08-14, Bruce Dickinson, , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Felix in Fairyland, 1923-08-01, , , , , , Otto Messmer, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Big N' Plenty, 2004-01-01, Edu Boxer, Carlo Masi, Adam Dexter, Dave Angelo, Marc Williams, John Rutherford, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Bitches, 1992-01-01, Annabelle Davies, Linda Serbu, Charles Wing, , , Richard Kern, Richard Kern, Richard Kern, , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Land of the Pharaohs, 1955-07-24, Jack Hawkins, Joan Collins, Dewey Martin, Alexis Minotis, James Robertson Justice, Howard Hawks, William Faulkner, Harry Kurnitz, Harold Jack Bloom, Lee Garmes, Drama-History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
Jail House Blues, 1942-02-01, Nat Pendleton, Anne Gwynne, Robert Paige, Horace McMahon, Elisabeth Risdon, Albert S. Rogell, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Refrigerator, 1991-01-11, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Waardenberg & de Jong: Jool Hul, 1990-09-19, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Outlaw, 1943-02-05, Jane Russell, Jack Buetel, Thomas Mitchell, Walter Huston, Mimi Aguglia, Howard Hughes, Howard Hughes, Jules Furthman, Gregg Toland, Wallace Grissell, Action-Adventure-Western,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,
Brave Miss World, 2013-12-13, , , , , , Cecilia Peck, Cecilia Peck, Inbal B. Lessner, , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Small Town Sheriff, 1927-09-03, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
311: Enlarged to Show Detail, 1996-12-05, Nick Hexum, Tim Mahoney," Doug ""SA"" Martinez", Chad Sexton," Aaron ""P-Nut"" Wills", Mark Kohr, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Princess and the Pea, 2002-08-16, Amanda Waving, Steven Webb, Dan Finnerty, Nigel Lambert, Lincoln Hoppe, Mark Swan, , , , , Animation-Family-Fantasy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Ten Brothers of Shaolin, 1979-01-01, Don Wong Tao, Chang Yi, Phillip Ko Fei, Leung Kar-Yan, , Chung Ting, Szeto Man, Tung Hsiang Hsu, , , Action-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Legendary, 2010-09-09, John Cena, Patricia Clarkson, Devon Graye, Danny Glover, , Mel Damski, John Posey, David Calloway, Kenneth Zunder, Denise Chamian, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Fist of Anger, 1973-01-12, Jackie Chan, Mu Zhu, Hao Li, Wang Qing, Yu Chin Wang, Mu Zhu, Lan Su, , , , Action-Drama-History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,
Biwi No. 1, 1999-05-27, Salman Khan, Anil Kapoor, Karisma Kapoor, Sushmita Sen, Tabu, David Dhawan, Kamal Haasan, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Frost Bite, 2011-01-01, Cassandre Leigh, Cheyenne Buchanan, Arthur Moonin, Joe Davison, , Joe Davison, Joe Davison, , , , Action-Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Picture Brides, 1934-04-23, Dorothy Mackaill, Regis Toomey, Alan Hale, Dorothy Libaire, Harvey Clark, Phil Rosen, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Song of the Islands, 1942-03-13, Betty Grable, Victor Mature, Jack Oakie, Thomas Mitchell, George Barbier, Walter Lang, Joseph Schrank, Robert Pirosh, Robert Ellis, Helen Logan, Comedy-Music-Romance,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Haatim Tai, 1990-04-20, Jeetendra, Sangeeta Bijlani, Sonu Walia, Satish Shah, Alok Nath, Babubhai Mistri, P.D. Mehra, Zafar Rahi, Ratan Mohan, K. Vaikunth, Drama-Fantasy-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Gangaajal, 2003-08-29, Ajay Devgan, Gracy Singh, Mohan Joshi, Yashpal Sharma, Akhilendra Mishra, Prakash Jha, , , , , Crime-Drama-Foreign,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
Behold The Lamb, 2011-04-14, , , , , , John McIlduff, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Russians, 2008-08-07, Pyotr Barancheev, Albert Filozov, Sergey Glushko, Vladimir Gostyukhin, Denis Karasyov, Adel Al-Khadad, Sergey Rusakov, , , , Family-Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Flipper, 1996-05-17, Elijah Wood, Paul Hogan, Jonathan Banks, Jason Fuchs, Robert Deacon, Alan Shapiro, Alan Shapiro, , , , Adventure-Family,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
Ram Avtar, 1988-05-20, Anil Kapoor, Sunny Deol, Sridevi Kapoor, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zombie Bloodbath 2: Rage of the Undead, 1995-01-01, Dave Miller, Kathleen McSweeney, Gena Fischer, Nick Stodden, Jody Rovick, Todd Sheets, Todd Sheets, Todd Sheets, Matthew Jason Walsh, Roger Williams, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Street Kids United, 2011-09-08, , , , , , Tim Pritchard, , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Stone Roses: Blackpool Live, 1991-11-03, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stephen Hawking's Grand Design, 2012-11-29, Stephen Hawking, , , , , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Space Station 3D, 2002-04-17, Tom Cruise, James Arnold, Michael J. Bloomfield, Robert D. Cabana, Leroy Chiao, Toni Myers, Toni Myers, Graeme Ferguson, Toni Myers, Toni Myers, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Narnia Code, 2009-04-09, James Cosmo, , , , , Norman Stone, , , , , Documentary-Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
2001 Arizona Diamondbacks: The Official World Series Film, 2001-11-30, , , , , , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
2012 Startling New Secrets, 2009-11-09, Lester Holt, Roland Emmerich, Patrick Geryl, , , , , , , , Documentary-Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
Tassels in the Air, 1938-04-01, Curly Howard, Larry Fine, Moe Howard, , , Charley Chase, Elwood Ullman, , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Alice Helps The Romance, 1926-11-14, Margie Gay, , , , , Walt Disney, , , , , Animation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Najib Amhali: Zorg dat je erbij komt, 2008-12-06, Najib Amhali, , , , , , , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fakers, 2010-01-14, Greyston Holt, Andrew Francis, Alexia Fast, Mike Beaver, Drea de Matteo, Pierre Gill, Steven Westren, Jesse McKeown, , , Drama-TVMovie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Fire Brigade, 1926-12-20, May McAvoy, Charles Ray, Holmes Herbert, Tom O'Brien, Eugenie Besserer, William Nigh, Kate Corbaley, Robert N. Lee, Lotta Woods, , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Dil Ne Jise Apna Kahaa, 2004-09-10, Salman Khan, Preity Zinta, Bhumika Chawla, Rati Agnihotri, , Atul Agnihotri, Atul Agnihotri, , , , Drama-Foreign-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
I'll Never Forget What's'isname, 1967-12-18, Orson Welles, Oliver Reed, Carol White, Harry Andrews, Michael Hordern, Michael Winner, Peter Draper, , , , Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Flat Top, 1952-10-26, Sterling Hayden, Richard Carlson, William Phipps, John Bromfield, Keith Larsen, Lesley Selander, Steve Fisher, , , , Action-Drama-War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Tsar to Lenin, 1937-03-06, Max Eastman, Vladimir Ilyich Lenin, Leon Trotsky, Alexander Kerensky, Tsar Nicholas II, Herman Axelbank, Herman Axelbank, Max Eastman, , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Emperor's Club, 2002-11-22, Kevin Kline, Emile Hirsch, Embeth Davidtz, Rob Morrow, Edward Herrmann, Michael Hoffman, Ethan Canin, Neil Tolkin, , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Rocky, 1976-11-21, Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, John G. Avildsen, Sylvester Stallone, Robert Chartoff, Irwin Winkler, Bill Conti, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
3 Rivers Progressive Rock Festival, 2008-01-01, , , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stagecoach, 1986-05-18, Willie Nelson, Waylon Jennings, Johnny Cash, , , Ted Post, , , , , Action-Western,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
The Leopard's Spots, 1925-04-09, , , , , , Walter Lantz, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Murder by Contract, 1958-12-01, Vince Edwards, Phillip Pine, Herschel Bernardi, Caprice Toriel, Michael Granger, Leon Chooluck, Irving Lerner, Ben Simcoe, Ben Maddow, Carlo Lodato, Action-Crime-Drama-Thriller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,
Is Spiritualism a Fraud?, 1906-07-01, , , , , , J.H. Martin, , , , , Comedy-Horror,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tiamat: The Church Of Tiamat, 2006-02-19, Johan Edlund, , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Redemption Impossible, 2013-03-21, , , , , , Claus Strigel, Claus Strigel, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wieners, 2008-06-03, Kenan Thompson, Fran Kranz, Zachary Levi, Darrell Hammond, Jenny McCarthy, Mark Steilen, Suzanne Francis, Gabe Grifoni, , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tiger From River Kwai, 1975-09-23, George Eastman, Gordon Mitchell, Krung Srivilai, Loredana Farnese, , Franco Lattanzi, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Revenge of the Nerds IV: Nerds In Love, 1994-05-09, Robert Carradine, Curtis Armstrong, Ted McGinley, Julia Montgomery, Corinne Bohrer, Steve Zacharias, , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Deadrise, 2011-04-05, Renee O'Connor, Larry Joe Campbell, Grant Krause, Nate Mitchell, , Richard Brauer, , , , , Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Raising Helen, 2004-05-07, Kate Hudson, Joan Cusack, Hayden Panettiere, Spencer Breslin, Abigail Breslin, Garry Marshall, Ashok Amritraj, David Hoberman, John Debney, Mark Vogel, Comedy-Family-Romance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Dobus - Suikerspinnen, 2010-05-25, Patrick Onzia, Peter Bulckaen, Nele Goossens, Ludo Hellinx, Britt van der Borght, , , , , , Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
The Stoning, 2006-09-09, Haluk Piyes, Cheyenne Rushing, , , , Harald Holzenleiter, , , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
What is the Electric Car?, 2010-11-15, Ed Begley Jr., Aaron Berger, Tom Berry, , , Ken Grant, Ken Grant, Andrew Reilly, , , Documentary-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,
Four Centuries of American Education, 1999-11-29, , , , , , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Young and Dangerous 2, 1996-03-30, Ekin Cheng, Jordan Chan Siu-Chun, Gigi Lai, Jerry Lamb, Simon Yam, Andrew Lau Wai-Keung, , , , , Action-Crime-Foreign-Thriller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,
Piano 17, 2006-03-16, Giampaolo Morelli, Elisabetta Rocchetti, Giuseppe Soleri, Enrico Silvestrin, Antonio iuorio, Antonio Manetti, Marco Manetti, , , , Action-Comedy-Crime,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Ivan, 1932-11-05, Konstantin Bondarevsky, Dmitri Golubinsky, Elena Golki, Maksim Gornatko, Aleksandr Zapolsky, Ganna Chernyatsina, Aleksandr Dovzhenko, Iosif Shpinel, Aleksandr Babij, Lev Kantorovich, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Misery, 1990-11-29, James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen, Lauren Bacall, Rob Reiner, Stephen King, William Goldman, Rob Reiner, Andrew Scheinman, Horror-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Lyrical Nitrate, 1991-02-20, Lyda Borelli, Henny Porten, Anni Timm, , , Peter Delpeut, Peter Delpeut, Menno Boerema, Jan van Sandwijk, Paul Veld, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Monster a-Go Go, 1965-07-01, Phil Morton, June Travis, George Perry, Lois Brooks, , Bill Rebane, Herschell Gordon Lewis, Jeff Smith, Dok Stanford, Bill Rebane, Horror-ScienceFiction,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
The Big Swallow, 1901-10-15, Sam Dalton, , , , , James Williamson, James Williamson, , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Murder on the Campus, 1933-12-26, Shirley Grey, Charles Starrett, J. Farrell MacDonald, Ruth Hall, Dewey Robinson, Richard Thorpe, Whitman Chambers, M.A. Anderson, Edward C. Jewell, Melville Shyer, Mystery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Me and the Kid, 1993-10-22, Danny Aiello, Alex Zuckerman, Joe Pantoliano, Cathy Moriarty, David Dukes, Dan Curtis, Stanley Cohen, Richard Tannenbaum, , , Comedy-Crime-Drama-Family,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
